"category","dv","variable","estimate","std_error","t_value","p_value","n_obs","n_clusters"
"C01","log_sales","(Intercept)",-0.012809513537302,0.0187695841930971,-0.682461231187687,0.494960124314677,12377,122
"C01","log_sales","republican_percentage_std",-0.00825915939843362,0.0209600326125972,-0.394043251319647,0.693555897291913,12377,122
"C01","log_sales","republicanStd_x_brand",-0.00596860896061448,0.0469690745139988,-0.127075294166922,0.898882870112387,12377,122
