"dv","ate","se","t_value","p_value"
"log_sales",-0.0463650271242473,0.00900136343697548,-5.15088935680463,2.59254108857722e-07
"log_avg_price",-0.0243654608306015,0.00837755244225404,-2.90842235826647,0.00363257365809991
"log_transactions",-0.00246160175148888,0.000829143889161932,-2.96884748674561,0.00298918917077058
