"category","dv","ate","se","p_value","n_obs","n_clusters"
"C10","log_sales",-0.328638071346277,0.0142239600947678,4.16803594252823e-118,21841,122
"C10","log_avg_price",-0.120544596947018,0.00743712559529111,4.39207989883959e-59,21841,122
"C10","log_transactions",-0.196959571868456,0.011595658964923,1.04921102009716e-64,21841,122
"C01","log_sales",-0.0127712440706795,0.018563349405757,0.491464326242272,12377,122
"C01","log_avg_price",-0.0123883707683407,0.016402481387864,0.45008448444246,12377,122
"C01","log_transactions",0.0056919703866066,0.00524870127930957,0.278163949820579,12377,122
"C02","log_sales",-0.259026803459061,0.0160396910393934,1.1520403762168e-58,20113,122
"C02","log_avg_price",0.0855726292345143,0.00757670639948005,1.40218457113285e-29,20113,122
"C02","log_transactions",-0.312652334762889,0.0149260490497583,2.00848514938203e-97,20113,122
