"category","dv","variable","estimate","std_error","t_value","p_value","n_obs","n_clusters"
"C10","log_sales","(Intercept)",-0.328759144919927,0.014114928075265,-23.2915919349277,1.50208069304627e-118,21841,122
"C10","log_sales","republican_percentage_std",0.0362947936937312,0.0171309166082698,2.11867201993209,0.0341294534983576,21841,122
"C10","log_sales","republicanStd_x_brand",-0.039058992320506,0.0466385608553433,-0.837482795441597,0.402330408750513,21841,122
"C10","log_avg_price","(Intercept)",-0.120594355370975,0.00750052924546374,-16.0781128136937,7.80603376243058e-58,21841,122
"C10","log_avg_price","republican_percentage_std",0.00898483088774994,0.00826692368457237,1.08684091332757,0.277119118696162,21841,122
"C10","log_avg_price","republicanStd_x_brand",-0.0160523377703175,0.0190930134810263,-0.840744065166531,0.400500533941639,21841,122
"C10","log_transactions","(Intercept)",-0.197058538440924,0.0115111860941246,-17.1188734878941,2.86301087375212e-65,21841,122
"C10","log_transactions","republican_percentage_std",0.0294610100537372,0.0132702771718155,2.22007495942202,0.0264239069205573,21841,122
"C10","log_transactions","republicanStd_x_brand",-0.0319271536921626,0.0313551282479414,-1.01824344138215,0.308573559796875,21841,122
"C01","log_sales","(Intercept)",-0.012809513537302,0.0187695841930971,-0.682461231187687,0.494960124314677,12377,122
"C01","log_sales","republican_percentage_std",-0.00825915939843362,0.0209600326125972,-0.394043251319647,0.693555897291913,12377,122
"C01","log_sales","republicanStd_x_brand",-0.00596860896061448,0.0469690745139988,-0.127075294166922,0.898882870112387,12377,122
"C01","log_avg_price","(Intercept)",-0.0126582030324657,0.016518886021592,-0.766286722719678,0.44352033433901,12377,122
"C01","log_avg_price","republican_percentage_std",0.0030182117175785,0.017161986971019,0.175866100042802,0.86040201625276,12377,122
"C01","log_avg_price","republicanStd_x_brand",-0.0390547613193312,0.0436436329808853,-0.894855873626197,0.370881543279984,12377,122
"C01","log_transactions","(Intercept)",0.0058474578085703,0.00529804623601937,1.10370078856913,0.2697444161829,12377,122
"C01","log_transactions","republican_percentage_std",-0.00984657031655957,0.00546151494548593,-1.80290091940479,0.0714280960448482,12377,122
"C01","log_transactions","republicanStd_x_brand",0.0221038916997419,0.0146804820381288,1.50566525283929,0.132178653163553,12377,122
"C02","log_sales","(Intercept)",-0.259170045355232,0.0158258873304405,-16.3763358062538,6.89264106056669e-60,20113,122
"C02","log_sales","republican_percentage_std",0.0433164675148126,0.0172109642436172,2.51679492802833,0.0118504873481913,20113,122
"C02","log_sales","republicanStd_x_brand",-0.0159704311140875,0.0587194517484885,-0.271978546095649,0.785641307575452,20113,122
"C02","log_avg_price","(Intercept)",0.0862253915010226,0.00768035955874254,11.2267389100127,3.6804757050996e-29,20113,122
"C02","log_avg_price","republican_percentage_std",0.0126988170953614,0.00865285517912695,1.46758692159722,0.142232101651324,20113,122
"C02","log_avg_price","republicanStd_x_brand",0.0733322521600205,0.0644466208058917,1.13787583030756,0.255185891292318,20113,122
"C02","log_transactions","(Intercept)",-0.313545407902891,0.0151173647295472,-20.7407450645191,1.45112685944556e-94,20113,122
"C02","log_transactions","republican_percentage_std",0.0270754628838151,0.0146505266701258,1.84808802396335,0.0646042829020512,20113,122
"C02","log_transactions","republicanStd_x_brand",-0.100211912787091,0.0590263680916997,-1.6977482441645,0.0895707597852211,20113,122
